"Provider.ID","Hospital.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.meaningful.use.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","Mortality.national.comparison","Mortality.national.comparison.footnote","Safety.of.care.national.comparison","Safety.of.care.national.comparison.footnote","Readmission.national.comparison","Readmission.national.comparison.footnote","Patient.experience.national.comparison","Patient.experience.national.comparison.footnote","Effectiveness.of.care.national.comparison","Effectiveness.of.care.national.comparison.footnote","Timeliness.of.care.national.comparison","Timeliness.of.care.national.comparison.footnote","Efficient.use.of.medical.imaging.national.comparison","Efficient.use.of.medical.imaging.national.comparison.footnote","Location","lon","lat","geoAddress"
50324,"SCRIPPS MEMORIAL HOSPITAL LA JOLLA","9888 GENESEE AVENUE","LA JOLLA","CA",92037,"SAN DIEGO",8586264123,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","5","","Same as the national average","","Above the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","9888 GENESEE AVENUE
LA JOLLA, CA
(32.885475, -117.222971)",-117.2255426,32.8851577,"9888 genesee ave, la jolla, ca 92037, usa"
50231,"POMONA VALLEY HOSPITAL MEDICAL CENTER","1798 N GAREY AVE","POMONA","CA",91767,"LOS ANGELES",9098659500,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","1798 N GAREY AVE
POMONA, CA
(34.077639, -117.752329)",-117.7504494,34.0760758,"1798 n garey ave, pomona, ca 91767, usa"
10168,"JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL",36867,"RUSSELL",3347323000,"Acute Care Hospitals","Government - State","true","true","4","","Not Available","Results are not available for this reporting period","Above the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","4401 RIVER CHASE DRIVE
PHENIX CITY, AL
(32.509045, -85.005696)",-85.0086714,32.5080845,"4401 riverchase dr, phenix city, al 36867, usa"
10044,"MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL",35570,"MARION",2059216200,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","5","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Same as the national average","","Above the national average","","Not Available","Results are not available for this reporting period","1256 MILITARY STREET SOUTH
HAMILTON, AL
(34.125852, -87.989806)",-87.9914577,34.1267682,"1256 military st s, hamilton, al 35570, usa"
50441,"STANFORD HEALTH CARE","300 PASTEUR DRIVE","STANFORD","CA",94305,"SANTA CLARA",6507235708,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","4","","Same as the national average","","Same as the national average","","Above the national average","","Above the national average","","Same as the national average","","Below the national average","","Same as the national average","","300 PASTEUR DRIVE
STANFORD, CA
(37.433138, -122.176664)",-122.1750485,37.4330746,"lane building, 300 pasteur dr, palo alto, ca 94304, usa"
50236,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES","2975 N SYCAMORE DR","SIMI VALLEY","CA",93065,"VENTURA",8059556000,"Acute Care Hospitals","Voluntary non-profit - Church","true","true","2","","Same as the national average","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","2975 N SYCAMORE DR
SIMI VALLEY, CA
(34.288837, -118.74396)",-118.745137,34.2892065,"2975 sycamore dr, simi valley, ca 93065, usa"
31302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.","901 WEST REX ALLEN DRIVE","WILLCOX","AZ",85643,"COCHISE",5203843541,"Critical Access Hospitals","Government - Hospital District or Authority","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","901 WEST REX ALLEN DRIVE
WILLCOX, AZ
(32.264268, -109.837613)",-109.838346,32.265152,"901 w rex allen dr, willcox, az 85643, usa"
30134,"BANNER GOLDFIELD MEDICAL CENTER","2050 WEST SOUTHERN AVENUE","APACHE JUNCTION","AZ",85120,"PINAL",4807333300,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Same as the national average","","Above the national average","","Not Available","Results are not available for this reporting period","2050 WEST SOUTHERN AVENUE
APACHE JUNCTION, AZ
(33.393343, -111.566796)",-111.5670965,33.3943945,"2050 w southern ave, apache junction, az 85120, usa"
10058,"BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE","AL",35042,"BIBB",2059264881,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","208 PIERSON AVE
CENTREVILLE, AL
(32.951101, -87.147865)",-87.1480197,32.9511828,"208 pierson ave, centreville, al 35042, usa"
50025,"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR","200 WEST ARBOR DRIVE","SAN DIEGO","CA",92103,"SAN DIEGO",6195436222,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Above the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","200 WEST ARBOR DRIVE
SAN DIEGO, CA
(32.753717, -117.165914)",-117.166135,32.7542698,"south wing, 200 w arbor dr, san diego, ca 92103, usa"
50305,"ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP","2450 ASHBY AVENUE","BERKELEY","CA",94705,"ALAMEDA",5102044444,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","2","","Same as the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","2450 ASHBY AVENUE
BERKELEY, CA
(37.856488, -122.257329)",-122.2571526,37.8554349,"2450 ashby ave, berkeley, ca 94705, usa"
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",35631,"LAUDERDALE",2567688400,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","2","","Below the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","205 MARENGO STREET
FLORENCE, AL
(34.79366, -87.684348)",-87.6826802,34.7941285,"205 s marengo st, florence, al 35630, usa"
50226,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","1111 W LA PALMA AVENUE","ANAHEIM","CA",92801,"ORANGE",7147741450,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Above the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","1111 W LA PALMA AVENUE
ANAHEIM, CA
(33.847138, -117.933934)",-117.9345264,33.8481751,"1111 w la palma ave, anaheim, ca 92801, usa"
13301,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","1700 CENTER STREET","MOBILE","AL",36604,"MOBILE",2514151000,"Childrens","Government - State","true","true","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","1700 CENTER STREET
MOBILE, AL
(30.696082, -88.076883)",-88.0779587,30.6974512,"1700 center st, mobile, al 36604, usa"
50153,"O'CONNOR HOSPITAL","2105 FOREST AVENUE","SAN JOSE","CA",95128,"SANTA CLARA",4089472500,"Acute Care Hospitals","Voluntary non-profit - Church","true","true","2","","Same as the national average","","Same as the national average","","Below the national average","","Below the national average","","Same as the national average","","Below the national average","","Above the national average","","2105 FOREST AVENUE
SAN JOSE, CA
(37.327054, -121.937154)",-121.9382674,37.327875,"2105 forest ave, san jose, ca 95128, usa"
50261,"SIERRA VIEW MEDICAL CENTER","465 W PUTNAM AVE","PORTERVILLE","CA",93257,"TULARE",5597841110,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","2","","Below the national average","","Above the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","465 W PUTNAM AVE
PORTERVILLE, CA
(36.069575, -119.027405)",-119.0272034,36.0687768,"465 w putnam ave, porterville, ca 93257, usa"
41313,"OZARK HEALTH","2500 HIGHWAY 65 SOUTH","CLINTON","AR",72031,"VAN BUREN",5017457000,"Critical Access Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Above the national average","","Same as the national average","","2500 HIGHWAY 65 SOUTH
CLINTON, AR
(35.565949, -92.451889)",-92.452208,35.559199,"2500 hwy 65 s, clinton, ar 72031, usa"
10040,"GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL",35903,"ETOWAH",2564944000,"Acute Care Hospitals","Proprietary","true","true","2","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","1007 GOODYEAR AVENUE
GADSDEN, AL
(34.009389, -85.96752)",-85.9675987,34.0074618,"1007 goodyear ave, gadsden, al 35903, usa"
50320,"HIGHLAND HOSPITAL","1411 E 31ST STREET","OAKLAND","CA",94602,"ALAMEDA",5104374800,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","1","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","1411 E 31ST STREET
OAKLAND, CA
(37.799234, -122.231199)",-122.231653,37.7985416,"1411 e 31st st, oakland, ca 94602, usa"
10016,"SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL",35007,"SHELBY",2056208100,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Above the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","1000 FIRST STREET NORTH
ALABASTER, AL
(33.253679, -86.814261)",-86.8130445,33.2524139,"1000 1st st n, alabaster, al 35007, usa"
10092,"D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL",35401,"TUSCALOOSA",2057597111,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","2","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Below the national average","","Above the national average","","809 UNIVERSITY BOULEVARD EAST
TUSCALOOSA, AL
(33.20613, -87.525154)",-87.5266956,33.2047953,"809 university blvd e, tuscaloosa, al 35401, usa"
50394,"COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","147 N BRENT ST","VENTURA","CA",93003,"VENTURA",8056525011,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","Below the national average","","147 N BRENT ST
VENTURA, CA
(34.274184, -119.257238)",-119.2579873,34.2745633,"147 n brent st, ventura, ca 93003, usa"
40119,"WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","BATESVILLE","AR",72503,"INDEPENDENCE",8702621200,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","2","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Above the national average","","Below the national average","","1710 HARRISON STREET
BATESVILLE, AR
(35.769572, -91.634721)",-91.6342957,35.7678771,"1710 harrison st, batesville, ar 72501, usa"
50047,"CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","SAN FRANCISCO","CA",94115,"SAN FRANCISCO",4156006000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Above the national average","","Same as the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","2333 BUCHANAN STREET
SAN FRANCISCO, CA
(37.791188, -122.43096)",-122.4311513,37.7907806,"2333 buchanan st, san francisco, ca 94115, usa"
31313,"HOLY CROSS HOSPITAL","1171 WEST TARGET RANGE ROAD","NOGALES","AZ",85621,"SANTA CRUZ",5202853000,"Critical Access Hospitals","Proprietary","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Below the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","1171 WEST TARGET RANGE ROAD
NOGALES, AZ
(31.341113, -110.958787)",-110.959983,31.340479,"1171 w target range rd, nogales, az 85621, usa"
50541,"KAISER FOUNDATION HOSPITAL - REDWOOD CITY","1100 VETERANS BOULEVARD","REDWOOD CITY","CA",94063,"SAN MATEO",6502992000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","This hospitals star rating only includes data reported on inpatient services","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Above the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","1100 VETERANS BOULEVARD
REDWOOD CITY, CA
(37.489693, -122.224682)",-122.2251548,37.4891185,"1100 veterans blvd, redwood city, ca 94063, usa"
30094,"ABRAZO ARROWHEAD CAMPUS","18701 NORTH 67TH AVENUE","GLENDALE","AZ",85308,"MARICOPA",6235611000,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Below the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","18701 NORTH 67TH AVENUE
GLENDALE, AZ
(33.655042, -112.202889)",-112.2015464,33.6550895,"18701 n 67th ave, glendale, az 85308, usa"
50055,"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","SAN FRANCISCO","CA",94110,"SAN FRANCISCO",4156416562,"Acute Care Hospitals","Voluntary non-profit - Church","true","true","2","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA
(37.74805, -122.420987)",-122.420695,37.7477035,"3555 cesar chavez st, san francisco, ca 94110, usa"
10125,"LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","HALEYVILLE","AL",35565,"WINSTON",2054857117,"Acute Care Hospitals","Voluntary non-profit - Church","true","true","5","","Above the national average","","Not Available","Results are not available for this reporting period","Above the national average","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","42024 HIGHWAY 195 E
HALEYVILLE, AL
(34.241156, -87.590799)",-87.591312,34.241867,"42024 al-195, haleyville, al 35565, usa"
30036,"CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD","CHANDLER","AZ",85224,"MARICOPA",4807283000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","4","","Above the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Above the national average","","1955 WEST FRYE ROAD
CHANDLER, AZ
(33.29861, -111.876053)",-111.8746054,33.2973867,"1955 w frye rd, chandler, az 85224, usa"
30012,"YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","AZ",86301,"YAVAPAI",9284452700,"Acute Care Hospitals","Government - Local","true","true","2","","Below the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","1003 WILLOW CREEK ROAD
PRESCOTT, AZ
(34.55938, -112.482065)",-112.4811881,34.5596203,"northwest entrance - near the i.s. department, 1003 willow creek rd, prescott, az 86301, usa"
50283,"STANFORD HEALTH CARE - VALLEYCARE","5555 WEST LAS POSITAS BOULEVARD","PLEASANTON","CA",94588,"ALAMEDA",9254477000,"Acute Care Hospitals","Voluntary non-profit - Private","true","","4","","Same as the national average","","Below the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","5555 WEST LAS POSITAS BOULEVARD
PLEASANTON, CA
(37.692133, -121.880027)",-121.8803417,37.6933946,"5555 w las positas blvd, pleasanton, ca 94588, usa"
50040,"LAC/OLIVE VIEW-UCLA MEDICAL CENTER","14445 OLIVE VIEW DRIVE","SYLMAR","CA",91342,"LOS ANGELES",8183641555,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","2","","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","14445 OLIVE VIEW DRIVE
SYLMAR, CA
(34.325912, -118.445513)",-118.4459572,34.3259095,"14445 olive view dr, sylmar, ca 91342, usa"
40084,"SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","BENTON","AR",72015,"SALINE",5017766000,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Above the national average","","Below the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","#1 MEDICAL PARK DRIVE
BENTON, AR
(34.572715, -92.585113)",-92.5855631,34.5738284,"1 medical park dr, benton, ar 72015, usa"
50568,"MADERA COMMUNITY HOSPITAL","1250 E ALMOND AVE","MADERA","CA",93637,"MADERA",5596755555,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","2","","Below the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","1250 E ALMOND AVE
MADERA, CA
(36.945427, -120.045467)",-120.0443662,36.9440246,"1250 e almond ave, madera, ca 93637, usa"
10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL",36701,"DALLAS",3344184100,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Above the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","1015 MEDICAL CENTER PARKWAY
SELMA, AL
(32.430248, -87.055174)",-87.0560426,32.4294489,"1015 medical center pkwy, selma, al 36701, usa"
30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ",85006,"MARICOPA",6022392000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","1111 EAST MCDOWELL ROAD
PHOENIX, AZ
(33.465724, -112.058127)",-112.057618,33.4645993,"1111 e mcdowell rd, phoenix, az 85006, usa"
50380,"GOOD SAMARITAN HOSPITAL","2425 SAMARITAN DRIVE","SAN JOSE","CA",95124,"SANTA CLARA",4085592011,"Acute Care Hospitals","Proprietary","true","true","2","","Below the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","2425 SAMARITAN DRIVE
SAN JOSE, CA
(37.251104, -121.946563)",-121.9463306,37.2520715,"2425 samaritan dr, san jose, ca 95124, usa"
10062,"WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL",36340,"GENEVA",3346843655,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Below the national average","","Above the national average","","Not Available","Results are not available for this reporting period","1200 W MAPLE AVENUE
GENEVA, AL
(31.048063, -85.890837)",-85.890977,31.048774,"1200 w maple ave, geneva, al 36340, usa"
10173,"ST VINCENT'S CHILTON","2030 LAY DAM ROAD","CLANTON","AL",35045,"CHILTON",2054927008,"Acute Care Hospitals","Voluntary non-profit - Church","true","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","2030 LAY DAM ROAD
CLANTON, AL
(32.881389, -86.625087)",-86.6224025,32.8800611,"2030 lay dam rd, clanton, al 35045, usa"
50131,"NOVATO COMMUNITY HOSPITAL","180 ROWLAND WAY","NOVATO","CA",94945,"MARIN",4152091300,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","4","","Same as the national average","","Not Available","Results are not available for this reporting period","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","180 ROWLAND WAY
NOVATO, CA
(38.098077, -122.55966)",-122.5602107,38.0990424,"180 rowland way, novato, ca 94945, usa"
20008,"BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK",99801,"JUNEAU",9077968900,"Acute Care Hospitals","Government - Local","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","3260 HOSPITAL DR
JUNEAU, AK
(58.328696, -134.466829)",-134.4651476,58.3289008,"3260 hospital dr, juneau, ak 99801, usa"
50464,"DOCTORS MEDICAL CENTER","1441 FLORIDA AVENUE","MODESTO","CA",95350,"STANISLAUS",2095781211,"Acute Care Hospitals","Proprietary","true","true","2","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","1441 FLORIDA AVENUE
MODESTO, CA
(37.665531, -120.996248)",-120.9972995,37.6652147,"1441 florida ave, modesto, ca 95350, usa"
50515,"KAISER FOUNDATION HOSPITAL - SAN DIEGO","4647 ZION AVE","SAN DIEGO","CA",92120,"SAN DIEGO",6195285000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","This hospitals star rating only includes data reported on inpatient services","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","4647 ZION AVE
SAN DIEGO, CA
(32.792973, -117.095859)",-117.0951878,32.7913395,"4647 zion ave, san diego, ca 92120, usa"
10038,"STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL",36201,"CALHOUN",2562358900,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","301 EAST 18TH ST
ANNISTON, AL
(33.667701, -85.825025)",-85.8293933,33.6676795,"33 e 18th st, anniston, al 36201, usa"
50382,"CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  SAN BERNARDINO ROAD","COVINA","CA",91723,"LOS ANGELES",6268142468,"Acute Care Hospitals","Proprietary","true","true","2","","Above the national average","","Above the national average","","Below the national average","","Below the national average","","Below the national average","","Below the national average","","Below the national average","","210 W SAN BERNARDINO ROAD
COVINA, CA
(34.089947, -117.893666)",-117.8934248,34.0880807,"210 w san bernardino rd, covina, ca 91723, usa"
50167,"SAN JOAQUIN GENERAL HOSPITAL","500 W HOSPITAL ROAD","FRENCH CAMP","CA",95231,"SAN JOAQUIN",2094686000,"Acute Care Hospitals","Government - Local","true","true","2","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","500 W HOSPITAL ROAD
FRENCH CAMP, CA
(37.886492, -121.282061)",-121.2826314,37.8867135,"500 w hospital rd, french camp, ca 95231, usa"
10056,"ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL",35205,"JEFFERSON",2059397000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Above the national average","","Below the national average","","Below the national average","","Same as the national average","","810 ST VINCENT'S DRIVE
BIRMINGHAM, AL
(33.508015, -86.788755)",-86.7889111,33.5071812,"810 st vincents dr, birmingham, al 35205, usa"
60006,"MONTROSE MEMORIAL HOSPITAL","800 S 3RD ST","MONTROSE","CO",81401,"MONTROSE",9702492211,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","4","","Same as the national average","","Same as the national average","","Above the national average","","Above the national average","","Same as the national average","","Above the national average","","Same as the national average","","800 S 3RD ST
MONTROSE, CO
(38.480881, -107.868769)",-107.868883,38.480112,"800 s 3rd st, montrose, co 81401, usa"
50063,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","1300 N VERMONT AVE","LOS ANGELES","CA",90027,"LOS ANGELES",2134133000,"Acute Care Hospitals","Proprietary","true","true","2","","Above the national average","","Same as the national average","","Below the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","1300 N VERMONT AVE
LOS ANGELES, CA
(34.096116, -118.291753)",-118.2905784,34.0962209,"1300 n vermont ave, los angeles, ca 90027, usa"
50026,"GROSSMONT HOSPITAL","5555 GROSSMONT CENTER DRIVE BOX 58","LA MESA","CA",91942,"SAN DIEGO",6194650711,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Below the national average","","Above the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","5555 GROSSMONT CENTER DRIVE BOX 58
LA MESA, CA
(32.779435, -117.009178)",-86.160495,34.22159,"2505 us-431, boaz, al 35957, usa"
10139,"BROOKWOOD BAPTIST MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL",35209,"JEFFERSON",2058771000,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","2010 BROOKWOOD MEDICAL CENTER DRIVE
BIRMINGHAM, AL
(33.46291, -86.77685)",-86.7766851,33.4634728,"2010 brookwood medical center dr, homewood, al 35209, usa"
50351,"TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD","TORRANCE","CA",90509,"LOS ANGELES",3103259110,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Above the national average","","Same as the national average","","Below the national average","","Same as the national average","","3330 LOMITA BLVD
TORRANCE, CA
(33.812644, -118.34375)",-118.3434945,33.8119157,"3330 lomita blvd, torrance, ca 90505, usa"
20026,"ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","AK",99508,"ANCHORAGE",9075632662,"Acute Care Hospitals","Government - Federal","true","true","2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","4315 DIPLOMACY DR
ANCHORAGE, AK
(61.18189, -149.800578)",-149.8006627,61.1827424,"4315 diplomacy dr, anchorage, ak 99508, usa"
40039,"ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","PARAGOULD","AR",72450,"GREENE",8702397000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","2","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","900 WEST KINGSHIGHWAY
PARAGOULD, AR
(36.052593, -90.499051)",-90.4978107,36.0525768,"900 w kingshighway, paragould, ar 72450, usa"
30087,"SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ",85260,"MARICOPA",4803233000,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Above the national average","","Below the national average","","Above the national average","","Above the national average","","9003 EAST SHEA BOULEVARD
SCOTTSDALE, AZ
(33.582467, -111.886032)",-111.8851431,33.580069,"9003 e shea blvd, scottsdale, az 85260, usa"
